m,n,p,lambda,R
3001,6,0.9,0.003961333883621868,0.0006419506431271006
3051,6,0.9,0.003961333883621868,0.000652646255308492
3101,6,0.9,0.003961333883621868,0.0006633418674898832
3151,6,0.9,0.003961333883621868,0.0006740374796712744
3201,6,0.9,0.003961333883621868,0.0006847330918526655
3251,6,0.9,0.003961333883621868,0.0006954287040340569
3301,6,0.9,0.003961333883621868,0.0007061243162154481
3351,6,0.9,0.003961333883621868,0.0007168199283968393
3401,6,0.9,0.003961333883621868,0.0007275155405782306
3451,6,0.9,0.003961333883621868,0.0007382111527596218
3501,6,0.9,0.003961333883621868,0.0007489067649410129
3551,6,0.9,0.003961333883621868,0.000759602377122404
3601,6,0.9,0.003961333883621868,0.0007702979893037953
3651,6,0.9,0.003961333883621868,0.0007809936014851865
3701,6,0.9,0.003961333883621868,0.0007916892136665777
3751,6,0.9,0.003961333883621868,0.0008023848258479691
3801,6,0.9,0.003961333883621868,0.0008130804380293603
3851,6,0.9,0.003961333883621868,0.0008237760502107515
3901,6,0.9,0.003961333883621868,0.0008344716623921426
3951,6,0.9,0.003961333883621868,0.0008451672745735338
4001,6,0.9,0.003961333883621868,0.000855862886754925
4051,6,0.9,0.003961333883621868,0.0008665584989363163
4101,6,0.9,0.003961333883621868,0.0008772541111177075
4151,6,0.9,0.003961333883621868,0.0008879497232990987
4201,6,0.9,0.003961333883621868,0.0008986453354804901
4251,6,0.9,0.003961333883621868,0.0009093409476618811
4301,6,0.9,0.003961333883621868,0.0009200365598432723
4351,6,0.9,0.003961333883621868,0.0009307321720246636
4401,6,0.9,0.003961333883621868,0.0009414277842060548
4451,6,0.9,0.003961333883621868,0.000952123396387446
4501,6,0.9,0.003961333883621868,0.0009628190085688372
4551,6,0.9,0.003961333883621868,0.0009735146207502285
4601,6,0.9,0.003961333883621868,0.0009842102329316196
4651,6,0.9,0.003961333883621868,0.000994905845113011
4701,6,0.9,0.003961333883621868,0.001005601457294402
4751,6,0.9,0.003961333883621868,0.0010162970694757932
